t,slice_label,slice_value,n_pts,V_mae,V_max,P_mae,P_max
10.0,y,0,10549,0.6370654106140137,5.807872772216797,1.5493093729019165,7.914148330688477
10.0,y,100,1172,1.2063053846359253,6.569478988647461,2.932880163192749,10.265445709228516
10.0,y,200,18592,1.9797942638397217,15.518777847290039,13.801262855529785,150.11119079589844
10.0,y,250,3735,1.2420917749404907,9.381302833557129,7.785536766052246,79.328369140625
10.0,y,300,3328,0.7896174192428589,6.87346076965332,3.1493754386901855,20.68264389038086
10.0,y,400,2830,0.7157240509986877,7.0687713623046875,1.0041149854660034,4.917301654815674
10.0,y,500,2311,0.6727484464645386,7.020849227905273,0.7665601968765259,3.6541824340820312
10.0,y,600,1804,0.8066760897636414,7.215520858764648,0.7984595894813538,3.071672201156616
10.0,y,700,10650,0.45573127269744873,7.946821212768555,0.6198386549949646,2.644749879837036
30.0,y,0,10549,0.5684038400650024,5.777055740356445,1.8636738061904907,6.3835954666137695
30.0,y,100,1172,1.1348706483840942,6.479034423828125,2.36367130279541,8.64896297454834
30.0,y,200,18592,2.25120210647583,14.979748725891113,18.502031326293945,163.93067932128906
30.0,y,250,3735,1.5094280242919922,12.270856857299805,8.105611801147461,79.19290161132812
30.0,y,300,3328,1.1731127500534058,8.401773452758789,5.839936256408691,41.20501708984375
30.0,y,400,2830,0.9497892260551453,7.105775833129883,2.655893087387085,36.74951171875
30.0,y,500,2311,0.9774218201637268,7.282586097717285,1.4187824726104736,8.66841983795166
30.0,y,600,1804,0.9415781497955322,7.221334457397461,0.8305658102035522,2.8233864307403564
30.0,y,700,10650,0.46367931365966797,7.798704147338867,0.6163253784179688,4.202106475830078
58.0,y,0,10549,0.5010014772415161,5.18393611907959,1.4945735931396484,6.903496742248535
58.0,y,100,1172,1.1549564599990845,6.837932586669922,2.420215368270874,8.677521705627441
58.0,y,200,18592,2.0089523792266846,16.456193923950195,12.87639045715332,127.62841033935547
58.0,y,250,3735,1.2744567394256592,8.011693954467773,7.136463642120361,85.0465087890625
58.0,y,300,3328,1.376204013824463,8.043560981750488,5.931386470794678,65.79463195800781
58.0,y,400,2830,1.1789036989212036,8.374844551086426,3.0324485301971436,34.12700653076172
58.0,y,500,2311,1.2053096294403076,7.570926666259766,1.9160386323928833,10.449300765991211
58.0,y,600,1804,1.0834156274795532,7.301477432250977,1.71048903465271,9.738689422607422
58.0,y,700,10650,0.6594195365905762,7.941978454589844,1.4047499895095825,9.609331130981445
100.0,y,0,10549,0.5895125865936279,5.267059326171875,2.040492296218872,6.41059684753418
100.0,y,100,1172,1.2088185548782349,6.700307846069336,3.2599897384643555,12.814422607421875
100.0,y,200,18592,1.81328284740448,13.964570999145508,9.863723754882812,121.85163879394531
100.0,y,250,3735,1.1538805961608887,9.91664981842041,6.823291778564453,60.09889602661133
100.0,y,300,3328,1.0133694410324097,8.62533187866211,6.334650993347168,60.94700241088867
100.0,y,400,2830,0.9154484868049622,7.978971481323242,3.070472002029419,60.49370574951172
100.0,y,500,2311,0.8464958667755127,7.4207916259765625,1.282387137413025,12.573089599609375
100.0,y,600,1804,0.9958580136299133,7.884002685546875,1.9171160459518433,14.527012825012207
100.0,y,700,10650,0.6071824431419373,8.323308944702148,0.935331404209137,6.302533149719238
